1;5183;9.900000;40;small
2;4923;9.900000;12;small
3;4433;9.900000;87;small
4;4376;9.900000;113;small
5;4693;9.900000;121;small
6;1423;9.900000;58;small
7;1624;9.900000;140;small
8;3043;9.900000;62;small
9;1153;9.900000;174;small
10;1616;9.900000;175;small
11;4882;9.900000;189;small
12;3091;9.900000;224;small
13;2996;9.900000;279;small
14;1665;9.900000;264;small
15;1370;9.900000;192;small
16;4850;9.900000;258;small
17;1437;9.900000;240;small
18;3077;9.900000;321;small
19;500;9.900000;317;small
20;1432;9.900000;272;small
21;3001;9.900000;427;small
22;1556;9.900000;365;small
23;1515;9.900000;305;small
24;2642;9.900000;371;small
25;4782;9.900000;430;small
26;1007;9.900000;489;small
27;4869;9.900000;435;small
28;523;9.900000;194;small
29;3024;9.900000;448;small
30;3255;9.900000;523;small
31;4149;9.900000;565;small
32;2559;9.900000;570;small
33;3073;9.900000;644;small
34;4771;9.900000;556;small
35;4974;9.900000;399;small
36;3049;9.900000;528;small
37;1409;9.900000;538;small
38;4715;9.900000;564;small
39;918;9.900000;680;small
40;1012;9.900000;587;small
41;3903;9.900000;417;small
42;4846;9.900000;583;small
43;5126;9.900000;930;small
44;4760;9.900000;612;small
45;1635;9.900000;647;small
46;4014;9.900000;640;small
47;2784;9.900000;667;small
48;4816;9.900000;708;small
49;1433;9.900000;681;small
50;5393;9.900000;802;small
51;525;9.900000;653;small
52;413;9.900000;425;small
53;1810;9.900000;724;small
54;2133;9.900000;725;small
55;3244;9.900000;763;small
56;2563;9.900000;688;small
57;662;9.900000;775;small
58;2224;9.900000;772;small
59;804;9.900000;773;small
60;535;9.900000;693;small
61;1581;9.900000;731;small
62;2913;9.900000;684;small
63;2162;9.900000;766;small
64;1981;9.900000;731;small
65;3299;9.900000;997;small
66;3658;9.900000;740;small
67;1251;9.900000;795;small
68;548;9.900000;993;small
69;1000;9.900000;637;small
70;264;9.900000;790;small
71;677;9.900000;791;small
72;1654;9.900000;862;small
73;1598;9.900000;855;small
74;3966;9.900000;820;small
75;1376;9.900000;929;small
76;686;9.900000;962;small
77;2305;9.900000;741;small
78;1869;9.900000;865;small
79;996;9.900000;1007;small
80;3029;9.900000;789;small
81;4629;9.900000;959;small
82;3104;9.900000;781;small
83;3920;9.900000;880;small
84;1851;9.900000;910;small
85;1070;9.900000;845;small
86;2841;9.900000;878;small
87;1195;9.900000;943;small
88;920;9.900000;1066;small
89;1669;9.900000;879;small
90;2586;9.900000;989;small
91;4462;9.900000;939;small
92;884;9.900000;864;small
93;3771;9.900000;991;small
94;1986;9.900000;991;small
95;1385;9.900000;987;small
96;4398;9.900000;1021;small
97;3118;9.900000;968;small
98;1590;9.900000;934;small
99;4647;9.900000;1027;small
100;1172;9.900000;1036;small
101;4284;9.900000;1043;small
102;1847;9.900000;1215;small
103;2858;9.900000;963;small
104;1534;9.900000;1000;small
105;1031;9.900000;1039;small
106;2884;9.900000;1015;small
107;3225;9.900000;1036;small
108;4468;9.900000;1019;small
109;2166;9.900000;962;small
110;2626;9.900000;1119;small
111;2038;9.900000;1123;small
112;1780;9.900000;1130;small
113;2399;9.900000;972;small
114;3579;9.900000;1061;small
115;3015;9.900000;1079;small
116;1901;9.900000;1180;small
